-11.01,-5.26,-3.56,Pitch,,,,,,
34.29,18.85,-7.11,Pitch,,,,,,
22.53,-1.34,-0.84,Pitch,,,,,,
-39.96,-2.65,-8.04,Pitch,,,,,,
-21.51,11.51,7.07,Pitch,,,,,,
26.25,9.73,-0.89,Pitch,,,,,,
36.37,-1.03,5.16,Pitch,,,,,,
-26.91,-12.06,2.72,Pitch,,,,,,
-49.49,7.08,-0.79,Pitch,,,,,,
-4.51,13.72,0.88,Roll,,,,,,
51.78,14.33,-4.38,Pitch,,,,,,
-6.25,-5.07,-0.12,Pitch,,,,,,
-45.99,3.16,0.97,Pitch,,,,,,
-12.77,4.27,-1.46,Pitch,,,,,,
17.78,-10.32,-4.6,Pitch,,,,,,
46.04,-7.15,9.36,Pitch,,,,,,
-48.41,-0.71,-3.21,Pitch,,,,,,
-28.2,8.08,10.1,Pitch,,,,,,
14.2,-3.6,-4.69,Pitch,,,,,,
61.69,-9.54,13.43,Pitch,,,,,,
-39.42,-10.99,-1.69,Pitch,,,,,,
-44.58,4.49,0.5,Pitch,,,,,,
1.4,-0.49,2.09,Yaw,,,,,,
77.03,-6.24,0.87,Pitch,,,,,,
-28.65,2.49,6.52,Pitch,,,,,,
-42,14.64,-2.16,Pitch,,,,,,
11.29,-14.3,-1.33,Roll,,,,,,
46.88,-1.5,-8.3,Pitch,,,,,,
-5.48,9.46,7.64,Roll,,,,,,
-57.35,-5.58,-1.7,Pitch,,,,,,
-11.44,9.04,2.75,Pitch,,,,,,
34.36,3.54,-7.28,Pitch,,,,,,
23.68,-8.19,8.01,Pitch,,,,,,
-28.83,-6.83,-5.69,Pitch,,,,,,
-14.64,4.93,-1.79,Pitch,,,,,,
2.28,-2.14,3.29,Yaw,,,,,,
36.18,-6.87,25.96,Pitch,,,,,,
-9.58,-1.26,-2.68,Pitch,,,,,,
-51.06,-1.13,0.81,Pitch,,,,,,
-5.88,0.48,7.27,Yaw,,,,,,
61.97,17.32,-9.23,Pitch,,,,,,
-10.31,-1.44,5.06,Pitch,,,,,,
-42.57,-11.34,2.87,Pitch,,,,,,
-6.82,-2.36,2.18,Pitch,,,,,,
10.6,20.33,-12.68,Roll,,,,,,
31.2,6.49,-16.97,Pitch,,,,,,
-31.66,-9.21,16.52,Pitch,,,,,,
-11.07,3.7,12.2,Yaw,,,,,,
9.82,2.69,-5.4,Pitch,,,,,,
26.29,3.1,-19.4,Pitch,,,,,,
-13.8,1.33,13.36,Pitch,,,,,,
-34.64,-5.79,15.89,Pitch,,,,,,
6.38,-3.19,-3.15,Pitch,,,,,,
63.8,10.26,-5.14,Pitch,,,,,,
-22.28,-9.25,-5.64,Pitch,,,,,,
-44.18,-2.64,27.82,Pitch,,,,,,
1.56,5.97,-2.83,Roll,,,,,,
48.54,15.95,-28.49,Pitch,,,,,,
-3.54,-3.22,11.07,Yaw,,,,,,
-42.36,-7.85,25.91,Pitch,,,,,,
-2.46,-0.52,-6.34,Yaw,,,,,,
50.32,22.7,16.35,Pitch,,,,,,
-4.94,0.09,3.63,Pitch,,,,,,
-35.59,-24.38,-35.8,Yaw,,,,,,
-11.41,0.27,4.24,Pitch,,,,,,
39.55,5.89,32.92,Pitch,,,,,,
10.95,-1.86,5.49,Pitch,,,,,,
-55.27,-20.91,-17.27,Pitch,,,,,,
-4.09,1.4,-1.87,Pitch,,,,,,
21.28,2.45,24.12,Yaw,,,,,,
-0.98,-10.82,5.61,Roll,,,,,,
-28.14,-8.12,-32.55,Yaw,,,,,,
-5.88,4.7,-0.9,Pitch,,,,,,
39.41,7.36,22.54,Pitch,,,,,,
